"ACAN"	"AIM1L"	"CDH24"	"CDKN2A"	"CENPE"	"CLEC4M"	"FAM83F"	"GNAZ"	"KDM8"	"KIF18A"	"LPL"	"MYOM2"	"PRAMEF9"	"PZP"	"SEMA5B"	"cg02871891"
"73"	2.321928095	7.787902559	6.781359714	7.665335917	8.335390355	1	0	5.64385619	7.375039431	6.930737338	6.247927513	2.321928095	0	2.584962501	7.392317423	0.775661002
"250"	2.584962501	7.658211483	6.918863237	9.405141463	8.060695932	3.584962501	0	9.980139578	6.942514505	7	6.768184325	4.700439718	3.321928095	0	6.918863237	0.885909772
"304"	0	8.50779464	6.475733431	9.209453366	9.162391329	0	0	6.768184325	7.392317423	7.499845887	5.614709844	2.321928095	0	4	6.266786541	0.938480137
"214"	8.038918989	4.64385619	5.129283017	7.988684687	9.016808288	0	0	8.388017285	8.060695932	7.375039431	8.636624621	2.584962501	0	8.430452552	5.727920455	0.878827205
"85"	3.169925001	5.672425342	6.108524457	4.807354922	5.64385619	6.523561956	6.209453366	5.584962501	10.39981196	3.459431619	4.523561956	6.539158811	1	9.269126679	5.930737338	0.721113618
"319"	1.584962501	5.977279923	5.754887502	4.247927513	7.139551352	0	4.64385619	8.651051691	7.599912842	5.727920455	5.523561956	4.321928095	0	3	7.693486957	0.908851904
"266"	5.209453366	3.584962501	5.781359714	8.011227255	6.321928095	7.807354922	0	6.087462841	11.18363538	4.087462841	9.87958325	5.882643049	0	3.169925001	6.409390936	0.491153053
"80"	3.169925001	5.044394119	5.554588852	8.027905997	5.247927513	0	5.754887502	10.66266838	11.19044202	3.807354922	8.366322214	8	4.64385619	12.26795708	7.383704292	0.420549021
"62"	5.044394119	5.491853096	7.794415866	5.584962501	7.607330314	0	1	9.434628228	10.50581155	6.906890596	7.50779464	9.622051819	0	3.459431619	9.810571635	0.321808279
"133"	3.700439718	6.686500527	6.06608919	8.588714636	6.599912842	0	0	8.813781191	9.044394119	6.409390936	4.321928095	6.918863237	0	12.01820018	4.087462841	0.892870598
"89"	5	6.523561956	7.781359714	4.64385619	8.611024797	1.584962501	0	4.754887502	6.64385619	7.523561956	6.614709844	4.321928095	0	3	8.21916852	0.910259315
"284"	4.754887502	7.599912842	6.108524457	6.942514505	5.930737338	0	0	9.328674927	11.22158712	5.209453366	8.761551232	2	0	4.700439718	7.50779464	0.459688468
"354"	1	0	5.209453366	2.807354922	2.321928095	11.13699111	5.357552005	4.392317423	11.74609438	3.169925001	4.584962501	7.781359714	0	11.9076418	5.554588852	0.534359179
"24"	1	5.491853096	6.807354922	4.169925001	8.13442632	0	0	6.475733431	6.894817763	8.194756854	4.459431619	5.247927513	0	2.584962501	7.87036472	0.916791104
"9"	4.321928095	6.426264755	6.303780748	7.022367813	6.672425342	0	0	6.807354922	8.169925001	5.977279923	6.832890014	7.888743249	0	4	6.87036472	0.933648122
"137"	6.768184325	6.392317423	5.727920455	9.967226259	8.209453366	0	8.027905997	9.184875343	6.108524457	6.95419631	6.768184325	1	0	0	7.607330314	0.90587532
"36"	0	6.087462841	6.22881869	5.044394119	5.672425342	2.807354922	5.882643049	9.169925001	7.882643049	4	6.266786541	6.375039431	1.584962501	3.459431619	5.426264755	0.824907904
"2"	3.459431619	1.584962501	5.285402219	11.16302064	7.832890014	1	5.832890014	4	9.856425529	7.199672345	8.098032083	2.321928095	4.523561956	3.906890596	6.714245518	0.777492952
"41"	0	4.321928095	4.169925001	5.672425342	4.169925001	11.52110964	8.447083226	5.64385619	10.59152235	1	3	7.651051691	1	12.27641524	5.357552005	0.479902567
"108"	2.584962501	5.614709844	7.011227255	5.426264755	7.686500527	0	4.169925001	6.426264755	6.942514505	6.857980995	6.426264755	2.584962501	0	3	7.714245518	0.888701382
"292"	4.584962501	6	5.129283017	9.691743519	7.238404739	0	4.459431619	6.658211483	9.036173613	5.426264755	9.095397023	1.584962501	2.807354922	1.584962501	7.087462841	0.609783742
"11"	0	6.087462841	6	10.18487534	7.622051819	0	0	10.01820018	9.618385502	6.768184325	7.118941073	0	4.700439718	2	5.727920455	0.729161966
"395"	5.129283017	3.321928095	6.339850003	5.554588852	6.832890014	0	5.906890596	10.94397991	9.560332834	4.64385619	8.519636253	4.247927513	1.584962501	5.523561956	8.184875343	0.276075031
"324"	2.584962501	5.044394119	7.499845887	11.19905882	8.503825738	5.392317423	1	6.672425342	9.888743249	6.988684687	6	5.044394119	4.247927513	3.169925001	6.285402219	0.580121642
"212"	2.807354922	5.459431619	7.569855608	11.12023788	9.319672121	0	2.807354922	4.247927513	11.89784546	8.317412614	8.77148947	2.321928095	3.321928095	7.118941073	7.139551352	0.11223918
"356"	5.169925001	8.409390936	7.721099189	9.556506055	8	2.584962501	0	8.891783703	8.353146825	6.882643049	7.50779464	2.584962501	3	3.169925001	6.044394119	0.895298196
"302"	5.087462841	4.857980995	5.523561956	6.741466986	7.807354922	0	0	6.554588852	6.247927513	6.491853096	6.392317423	3	0	0	7.781359714	0.879783193
"124"	0	8.257387843	4.584962501	8.027905997	9.169925001	0	0	8.921840937	7.442943496	7.864186145	7.459431619	2.584962501	0	5.285402219	6.14974712	0.900337741
"209"	3.700439718	4.087462841	6.845490051	9.73978061	8.873444113	0	5.807354922	11.57222651	7.64385619	8.22881869	6.942514505	5.285402219	3	1	10.22761594	0.896723829
"290"	9.99859043	4.906890596	6.303780748	6.87036472	7.820178962	4.087462841	2	8.271463028	8.854868383	6.845490051	5.930737338	4.247927513	1	9.044394119	9.245552706	0.75343562
"280"	5.95419631	7.022367813	6.022367813	9.756556323	7.876516947	3	0	5.64385619	10.33539035	8.262094845	8.857980995	2	0	0	6.523561956	0.932029837
"363"	5.044394119	1	6.988684687	9.247927513	6.459431619	1	0	5.357552005	10.01122726	5.209453366	8.033423002	3.807354922	2.807354922	5.044394119	7.011227255	0.780461191
"294"	2.321928095	6.459431619	6.108524457	9.152284842	5.044394119	0	1	7.948367232	11.99506047	2.807354922	7.64385619	7.375039431	2	10.46352437	5.129283017	0.870126224
"84"	3.459431619	6.584962501	6.169925001	7.169925001	6.62935662	1.584962501	0	4	8.588714636	4.754887502	6.754887502	1	0	1	6.357552005	0.840117657
"50"	7.54689446	7.108524457	5.672425342	9.20701432	7.46760555	0	0	7.832890014	8.06608919	7.434628228	7.700439718	3	0	2	7.475733431	0.607461755
"81"	0	0	5.554588852	4.321928095	4.754887502	2	6.22881869	5.285402219	9.174925683	3.584962501	7.930737338	6.768184325	0	4.459431619	6.189824559	0.915655808
"109"	4.584962501	4.700439718	9.721099189	8.988684687	8.011227255	0	6.554588852	7.651051691	5.614709844	7.14974712	7.169925001	6.614709844	0	0	7.076815597	0.799954077
"33"	5.832890014	8.479780264	6.754887502	8.689997971	8.977279923	0	0	10.06608919	8.479780264	7.266786541	5.523561956	3.169925001	2.321928095	3.459431619	8.813781191	0.683457708
"174"	0	0	4.169925001	4.459431619	3.321928095	11.5137276	7.539158811	4.459431619	9.390168956	0	5.044394119	8.361943774	0	11.60084211	5.357552005	0.372593142
"281"	2.321928095	5.491853096	6.741466986	7.199672345	7.727920455	5.285402219	4.64385619	7.266786541	10.07146236	5.459431619	7.14974712	3.584962501	0	1.584962501	6.129283017	0.88157338
"173"	5	5.087462841	7.139551352	7.033423002	6.569855608	0	2	6.857980995	6.62935662	5.209453366	7.942514505	5.906890596	0	0	8.184875343	0.871217443
"249"	1.584962501	6.442943496	5.700439718	5.832890014	7.622051819	0	0	8.21916852	8.14974712	6.409390936	6.303780748	5.247927513	1	1.584962501	8.727920455	0.899509494
"408"	2.584962501	7.592457037	7.321928095	8.247927513	7.531381461	0	0	9.016808288	9.11113567	6.375039431	6.658211483	4.321928095	0	4.169925001	6.906890596	0.861929825
"342"	0	6.108524457	5.209453366	5.727920455	5.169925001	8.194756854	2.584962501	3.906890596	11.82615121	2.807354922	3	7.960001932	2.321928095	3.459431619	4.754887502	0.871614932
"51"	5.209453366	7.189824559	5.357552005	9.807354922	6.988684687	4.247927513	0	4.321928095	8.417852515	6.285402219	6.820178962	5.930737338	0	2.807354922	7.348728154	0.894445069
"63"	3.459431619	2	5.491853096	4.087462841	6.266786541	0	3.169925001	6.247927513	8.77807713	3.906890596	9.902375114	5.087462841	0	5.781359714	5.426264755	0.867085633
"234"	2.807354922	7.826548487	5.832890014	6.339850003	7.108524457	1	1	10.38046107	7.442943496	7.022367813	7.636624621	6.599912842	0	6.459431619	6.442943496	0.929446684
"155"	3.906890596	8.055282436	5.906890596	8.693486957	6.700439718	3	0	5.044394119	9.396604781	5.523561956	7.14974712	4	0	3.321928095	7.400879436	0.909798131
"204"	1	8.784634846	8.370687407	10.41045135	7.714245518	0	0	8.463524373	7.592457037	7.257387843	8.997179481	1.584962501	8.810571635	4.247927513	6.977279923	0.393715483
"321"	0	5.977279923	5.044394119	7.888743249	7.46760555	0	7.442943496	10.18611424	8.857980995	5.906890596	6.62935662	6.62935662	3	1.584962501	7.686500527	0.85192625
"139"	4.169925001	8.005624549	6.022367813	9.240791332	6.965784285	0	2	4.584962501	9.09011242	5.672425342	7.54689446	7.727920455	0	2.584962501	7.199672345	0.828202639
"156"	3	7.266786541	5.614709844	8.781359714	7.982993575	0	0	6.807354922	7.285402219	6.459431619	7.022367813	1.584962501	0	1	9.011227255	0.760999102
"207"	4.523561956	4.087462841	7.276124405	10.33985	8.891783703	0	0	6.988684687	9.370687407	7.693486957	7.266786541	2.321928095	2.321928095	1.584962501	6.375039431	0.813610573
"179"	8.794415866	6.169925001	6.209453366	7.366322214	7.209453366	0	0	8.651051691	7.139551352	6.108524457	7.426264755	5.523561956	0	3	8.539158811	0.847107848
"122"	2.584962501	4.754887502	5.554588852	5.357552005	4.95419631	3	1	8.686500527	6.569855608	5.700439718	5.614709844	6.539158811	0	1	7.794415866	0.887848668
"339"	10.17741954	3.169925001	6.491853096	8.977279923	9.324180547	2.321928095	9.649256178	7.994353437	6.392317423	7.73470962	5.129283017	9.620219826	0	1	5.392317423	0.654863975
"316"	2	1	3.321928095	3	3.169925001	10.10459875	9.493855449	5.930737338	10.29806257	1	5.169925001	7.977279923	0	12.08679969	5.044394119	0.416592448
"338"	3.807354922	4.857980995	5.882643049	9.087462841	6.62935662	0	0	5.882643049	7.483815777	4.857980995	7.22881869	6.108524457	7.14974712	1	7.033423002	0.887744682
"182"	4.807354922	3.584962501	9.346513733	11.0175044	10.80574387	2.321928095	1	8.717676423	6.409390936	10.47775827	5.807354922	6.022367813	0	1.584962501	6.14974712	0.708918079
"18"	4.247927513	4.247927513	6.727920455	8.754887502	9.586839788	0	0	7.820178962	10.54785851	6.62935662	9.164906927	5.491853096	8.731319031	9.194756854	7	0.374799239
"367"	2	4.321928095	6.14974712	7.577428828	5.169925001	10.16490693	0	8.707359132	10.23601419	2.321928095	6.087462841	6.845490051	6.491853096	1.584962501	6.599912842	0.926883659
"215"	6.06608919	7.189824559	7.330916878	4.169925001	8.326429487	0	0	9.144658243	7.741466986	6.686500527	7.622051819	2	3	3.584962501	6.686500527	0.838646295
"361"	5.209453366	5.129283017	5.930737338	6.442943496	5.247927513	8.921840937	4.321928095	6.357552005	10.17617315	3.321928095	4.523561956	5.285402219	0	9.724513853	6.965784285	0.610311921
"217"	2	0	4.754887502	3.700439718	4.584962501	10.29232163	7.741466986	5.247927513	11.79522797	2	2.584962501	8.184875343	0	3	5.247927513	0.692695736
"198"	0	3	5.807354922	8.816983623	7.906890596	0	1	3.906890596	8.930737338	6.339850003	6	6.95419631	0	3.584962501	7.22881869	0.428386211
"223"	6.845490051	4.906890596	5.807354922	7.714245518	6.22881869	0	4.087462841	8.434628228	9.951284715	5.727920455	7.189824559	4.64385619	0	4.906890596	8.479780264	0.878059812
"65"	1.584962501	5.321928095	6.50779464	5.169925001	5	0	1.584962501	9.103287808	10.8008999	3.459431619	10.29691621	6.882643049	0	1	8.447083226	0.515539616
"176"	6.442943496	7.8008999	5.781359714	5.727920455	9.781359714	0	5.491853096	10.26912668	5.807354922	8.46760555	5.930737338	3.584962501	0	6.845490051	9.379378367	0.879212502
"142"	5.285402219	6.022367813	8.672425342	10.5574637	9.139551352	0	0	7.554588852	6.672425342	7.894817763	6.599912842	5.584962501	0	1.584962501	9.271463028	0.745575618
"277"	6.459431619	7.665335917	7.794415866	9.768184325	8.962896005	0	7.483815777	11.26209485	7.098032083	4.459431619	9.236014192	0	0	2.807354922	6.741466986	0.886167279
"116"	3.321928095	0	5.209453366	2.807354922	3.807354922	11.02444712	7.539158811	3.700439718	12.23511671	3	3.700439718	7.948367232	2	11.25738784	5.64385619	0.370274815
"341"	0	5.426264755	7.022367813	9.337621902	7.199672345	0	3.807354922	7.539158811	8.982993575	7.098032083	6.409390936	6.569855608	1.584962501	0	5.781359714	0.928714417
"254"	7.434628228	8.6794801	7.285402219	10.93663794	9.583082768	1	4.64385619	8.97441459	5.754887502	8.209453366	7.011227255	2	0	2.321928095	7.906890596	0.889158404
"387"	7.727920455	7.303780748	6.087462841	9.695228291	7.21916852	4.754887502	0	3.807354922	8.577428828	5.169925001	6.339850003	3.459431619	1	1	7.936637939	0.734275383
"242"	3	3.459431619	5.930737338	7.888743249	6.357552005	0	0	4.169925001	9.317412614	4.95419631	7.21916852	5.554588852	7.95419631	1.584962501	5.087462841	0.5633414
"188"	5.754887502	6.820178962	5.169925001	9.129283017	6.965784285	0	0	8.515699838	6.807354922	6.658211483	7.383704292	3.321928095	4.169925001	2	6.988684687	0.86467609
"236"	4.807354922	5.832890014	8.005624549	5.044394119	8.592457037	0	1	7.383704292	7.055282436	6.845490051	8.049848549	2	11.42259043	0	6.918863237	0.782104562
"298"	8.055282436	3.700439718	7.864186145	10.82416321	9.596189756	0	1.584962501	9.348728154	7.876516947	8.787902559	7.400879436	0	0	3.584962501	9.794415866	0.816327421
"66"	6.882643049	6.357552005	7.14974712	11.62753388	9.523561956	0	0	6.475733431	6.285402219	9.016808288	7	3	2.584962501	1	11.17741954	0.845969198
"400"	5	7.285402219	5.95419631	9.330916878	6.727920455	0	0	6.794415866	6.266786541	5.247927513	6.942514505	6.794415866	10.86882255	2	6.539158811	0.864663544
"61"	1.584962501	4.247927513	7.17990909	7.787902559	7.312882955	6.584962501	0	2.584962501	8.204571144	5.584962501	4.95419631	3.906890596	0	4	8.174925683	0.913350654
"148"	3	5.584962501	6.741466986	5.087462841	8.174925683	0	1	9.845490051	7.820178962	8.751544059	6.584962501	4.523561956	0	4.087462841	10.72962074	0.917317633
"386"	5.672425342	5.977279923	8.388017285	11.59618976	8.968666793	0	0	9.952741247	7.129283017	8.335390355	7.8008999	1	0	5.129283017	7.14974712	0.887941176
"262"	0	8.475733431	6.741466986	7.73470962	7.826548487	0	0	7.339850003	7.845490051	7.276124405	7.554588852	2.321928095	5.906890596	0	6.459431619	0.822964151
"177"	2	5.781359714	6.285402219	9.603626345	7.17990909	0	0	3	8.611024797	5.426264755	6.22881869	6.894817763	2.807354922	3.584962501	6.614709844	0.895415886
"187"	4.807354922	6.357552005	5.930737338	7.882643049	7.988684687	0	6.62935662	6.375039431	10.69609817	6.62935662	6.169925001	3.906890596	6.209453366	6.523561956	5.672425342	0.657113499
"206"	0	6.977279923	5.832890014	8.214319121	7.409390936	5.491853096	0	5.781359714	11.06743436	6.584962501	4.321928095	5.523561956	8.243173983	3.169925001	5.807354922	0.607392637
"184"	0	6.491853096	5.906890596	9.068778278	7.266786541	0	5.584962501	4.321928095	7.906890596	6.321928095	7.129283017	6.22881869	0	2.807354922	7	0.925679632
"119"	4.247927513	3.169925001	3.169925001	3.700439718	5.727920455	11.0409746	6.189824559	4.247927513	11.67154107	4.459431619	4.857980995	8.405141463	0	12.60594244	4.754887502	0.413093157
"126"	3.807354922	6.539158811	4.906890596	7.426264755	6.426264755	0	4.392317423	9.434628228	7.577428828	5.247927513	8.584962501	6.426264755	0	1	6.554588852	0.857254836
"406"	2.321928095	4.64385619	7.584962501	8.30833903	6.845490051	4.523561956	1	6.129283017	6.189824559	6.266786541	5.882643049	5.672425342	0	2	6.357552005	0.92932498
"8"	0	5	6.108524457	8.558420713	4.459431619	2.584962501	0	5.087462841	9.005624549	3	7.888743249	3.700439718	0	2	7.781359714	0.922714953
"111"	3	5.584962501	5.614709844	8.290018847	6.475733431	0	2.321928095	5.285402219	9.882643049	4.754887502	8.238404739	4.857980995	7.554588852	3.459431619	7.577428828	0.648788725
"329"	4.754887502	5	5.129283017	4.247927513	9.25502857	0	6.930737338	10.84392105	10.12412131	7.392317423	7.238404739	3	7.294620749	10.78708632	6.741466986	0.452388376
"282"	3.459431619	5.209453366	6.247927513	3.807354922	8.294620749	0	0	7.761551232	7.139551352	8.038918989	7.076815597	2.807354922	0	3	7.900866808	0.949899636
"238"	1.584962501	6.584962501	5	8.888743249	7.257387843	2	0	5.614709844	8.092757141	5.700439718	7.044394119	3.700439718	0	2.584962501	5.64385619	0.821010402
"186"	6.442943496	7.948367232	5.285402219	10.29806257	8.491853096	0	2	7.73470962	6.375039431	7.851749041	7.417852515	4.169925001	0	3	7.321928095	0.869005755
"345"	5.169925001	5.930737338	6.820178962	5.832890014	6.781359714	0	0	7.6794801	8.169925001	5.087462841	7.707359132	6.554588852	0	3.459431619	8.257387843	0.888617105
"103"	4	5.491853096	5.285402219	8.28077077	7.651051691	2.321928095	5.832890014	8.784634846	5.857980995	6.918863237	6.672425342	8.632995197	0	1.584962501	8.21916852	0.716639396
"202"	4	6.87036472	6.781359714	8.164906927	7.087462841	0	0	4.247927513	8.927777962	5.781359714	6.965784285	5.95419631	8.082149041	2.321928095	6.569855608	0.915749404
"146"	5.129283017	4.700439718	8.599912842	9.398743692	7.912889336	0	6.584962501	8.189824559	7.936637939	6.14974712	5.584962501	1	1	2	8.936637939	0.878126154
"189"	0	0	1.584962501	3.459431619	3.700439718	10.70043972	8.124121312	4.807354922	9.962896005	0	6.247927513	6.988684687	0	11.12799432	4.321928095	0.822981933
"75"	6.108524457	5.044394119	6.285402219	5.357552005	6.209453366	0	1	9.52160044	9.057991723	3.906890596	7.055282436	5.857980995	0	5.584962501	9.579315938	0.831185151
"175"	8.566054038	6.539158811	5.554588852	5.357552005	8.797661526	0	0	7.108524457	8.28077077	7.894817763	6.658211483	3.584962501	0	2	8.640244936	0.814946037
"311"	2.321928095	5.832890014	7.693486957	10.06204614	9.804131021	0	0	10.75822321	9.83447105	8.348728154	6.14974712	5.807354922	0	3.321928095	6	0.190418665
"107"	6.285402219	7.912889336	8.118941073	8.22881869	8.233619677	0	0	10.23840474	10.32305476	7.400879436	6.169925001	2.584962501	0	1.584962501	6.539158811	0.787226294
"37"	0	8.46760555	7.761551232	10.84235034	7.383704292	1	5.392317423	10.1711768	6.50779464	5.857980995	6.339850003	5.614709844	0	3.807354922	7.276124405	0.901307672
"353"	4.321928095	5	8.632995197	9.342074668	8.417852515	6.14974712	4.754887502	9.214319121	10.11894107	6.714245518	5.584962501	4.807354922	0	6.14974712	6.375039431	0.772876801
"391"	4.321928095	5.857980995	6.686500527	10.24436384	7.982993575	0	0	9.262094845	7.64385619	6.266786541	5.906890596	6.857980995	0	5.169925001	7.483815777	0.890212981
"360"	8.717676423	9.299208018	6.022367813	10.19352536	9.060695932	0	7.159871337	6.554588852	6.266786541	6.700439718	6.599912842	6.794415866	0	0	7.982993575	0.469902681
"237"	6.22881869	6.426264755	6.794415866	3.169925001	7.781359714	0	1	9.77148947	7.665335917	6.50779464	8.13442632	2.584962501	1	2.321928095	8.299208018	0.749180945
"76"	2.807354922	3.321928095	4.64385619	7.426264755	4.523561956	10.92184094	8.370687407	6.614709844	10.8494051	3.321928095	5.906890596	7.022367813	5.169925001	2.584962501	5.247927513	0.801957585
"351"	9.560332834	0	7.426264755	11.15924065	8.640244936	2	5.554588852	8.169925001	6.714245518	8.06608919	8.566054038	2	0	3	8.326429487	0.860389441
"74"	6.06608919	5.285402219	6.169925001	7.882643049	7.14974712	0	0	8.73809226	8.312882955	4.700439718	6.965784285	3.584962501	3.807354922	7.994353437	8.46760555	0.829401128
"161"	6.714245518	3.169925001	5.584962501	10.05120894	10.01122726	0	2.584962501	9.299208018	9.865733271	8.396604781	6.977279923	1	0	10.64745843	8.049848549	0.365966941
"303"	4.754887502	5.491853096	5.807354922	11.15860969	9.575539247	0	2.321928095	8.527477006	8.77807713	9.503825738	7.491853096	1	0	8.804131021	7.971543554	0.850313336
"192"	5.247927513	7.64385619	6.266786541	10.58777752	8.016808288	0	0	3.906890596	9.647458426	6.50779464	7.6794801	2.321928095	8.060695932	5.672425342	7.857980995	0.315630666
"200"	2	5.523561956	6.781359714	8.022367813	5.285402219	1.584962501	0	8.209453366	6.321928095	4.64385619	7.06608919	4.906890596	6.794415866	3	6.658211483	0.867076109
"233"	3.321928095	2.584962501	6.584962501	4.087462841	4.321928095	6.375039431	7.900866808	5.491853096	12.53113774	3.584962501	2.807354922	7.375039431	0	6.832890014	7.098032083	0.703114396
"402"	2.807354922	8.46760555	6.857980995	8.392317423	7.721099189	0	0	9.370687407	7.531381461	7.033423002	5.584962501	1	0	2.321928095	7.988684687	0.897917145
"52"	4.392317423	6.906890596	6.285402219	9.459431619	10.06608919	0	1	7.787902559	5.754887502	8.194756854	6.266786541	1	0	0	5.285402219	0.628908825
